difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,135,43,27,21,18,27,54,31,18,17,857
B,317,83,50,40,27,77,66,44,34,41,872
C,662,129,57,70,38,87,50,58,20,15,482
D,1007,150,88,81,49,62,32,11,39,8,170
