,90,79,76,74,73,71,68,67,66,65,63,62,61,60,59,58,57,56,54,53,52,51,50,49,48,47,46,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,14.0,17.0,8.0,27.0,30.0,31.0,42.0,29.0,91.0,38.0,29.0,27.0,39.0,24.0,20.0,22.0,17.0,25.0,819.0
B,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,14.0,2.0,11.0,11.0,9.0,12.0,10.0,15.0,8.0,10.0,34.0,21.0,36.0,20.0,31.0,27.0,30.0,67.0,34.0,54.0,86.0,45.0,27.0,29.0,20.0,35.0,23.0,18.0,16.0,23.0,842.0
C,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,5.0,2.0,7.0,10.0,11.0,13.0,30.0,29.0,16.0,32.0,15.0,23.0,19.0,14.0,20.0,24.0,69.0,57.0,45.0,64.0,49.0,93.0,59.0,51.0,35.0,28.0,51.0,30.0,26.0,40.0,28.0,21.0,15.0,3.0,18.0,10.0,499.0
D,5.0,2.0,0.0,0.0,8.0,0.0,0.0,7.0,6.0,0.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,6.0,3.0,4.0,8.0,8.0,10.0,17.0,9.0,12.0,3.0,17.0,4.0,28.0,3.0,18.0,7.0,9.0,6.0,12.0,11.0,16.0,25.0,48.0,46.0,38.0,43.0,74.0,28.0,44.0,34.0,50.0,60.0,70.0,62.0,70.0,65.0,41.0,40.0,46.0,46.0,32.0,21.0,19.0,15.0,13.0,10.0,14.0,2.0,5.0,3.0,30.0,5.0,167.0
