17,7,98,0,19,"main@1-19@./8.py","./8.py","main","main( )",1,19
28,10,124,0,34,"main@1-34@./9.py","./9.py","main","main( )",1,34
12,5,62,0,12,"main@1-12@./6.py","./6.py","main","main( )",1,12
10,3,44,0,10,"main@1-10@./2.py","./2.py","main","main( )",1,10
10,6,65,0,10,"main@1-10@./3.py","./3.py","main","main( )",1,10
9,3,48,0,9,"main@1-9@./7.py","./7.py","main","main( )",1,9
10,4,58,0,10,"main@1-10@./0.py","./0.py","main","main( )",1,10
11,5,56,0,11,"main@1-11@./4.py","./4.py","main","main( )",1,11
16,6,83,0,16,"main@1-16@./5.py","./5.py","main","main( )",1,16
13,4,64,0,13,"main@1-13@./1.py","./1.py","main","main( )",1,13
