12,5,143,0,19,"main@1-19@./8.py","./8.py","main","main( )",1,19
14,7,146,0,19,"main@1-19@./9.py","./9.py","main","main( )",1,19
12,5,126,0,14,"main@1-14@./6.py","./6.py","main","main( )",1,14
10,4,111,0,10,"main@1-10@./2.py","./2.py","main","main( )",1,10
16,6,173,0,18,"main@1-18@./3.py","./3.py","main","main( )",1,18
2,1,20,0,2,"main@1-2@./7.py","./7.py","main","main( )",1,2
22,9,166,0,24,"main@1-24@./0.py","./0.py","main","main( )",1,24
12,4,126,0,14,"main@1-14@./4.py","./4.py","main","main( )",1,14
13,5,134,0,14,"main@1-14@./5.py","./5.py","main","main( )",1,14
11,4,117,0,11,"main@1-11@./1.py","./1.py","main","main( )",1,11
