4,1,42,0,4,"main@1-4@./8.py","./8.py","main","main( )",1,4
7,3,65,0,15,"main@1-15@./9.py","./9.py","main","main( )",1,15
6,3,35,2,6,"main.gcd@5-10@./6.py","./6.py","main.gcd","main.gcd( a , b )",5,10
2,1,12,2,2,"main.lcm@11-12@./6.py","./6.py","main.lcm","main.lcm( a , b )",11,12
27,8,208,0,33,"main@1-33@./6.py","./6.py","main","main( )",1,33
7,3,37,2,7,"gcd@1-7@./2.py","./2.py","gcd","gcd( a , b )",1,7
8,4,76,1,8,"get_primes@1-8@./3.py","./3.py","get_primes","get_primes( n )",1,8
31,15,263,0,35,"main@1-35@./7.py","./7.py","main","main( )",1,35
4,2,21,2,4,"gcd@1-4@./0.py","./0.py","gcd","gcd( a , b )",1,4
5,2,25,2,5,"main.gcd@5-9@./4.py","./4.py","main.gcd","main.gcd( a , b )",5,9
2,1,14,2,2,"main.lcm@11-12@./4.py","./4.py","main.lcm","main.lcm( a , b )",11,12
2,1,12,1,2,"main.lcm_list@14-15@./4.py","./4.py","main.lcm_list","main.lcm_list( A )",14,15
2,1,14,1,2,"main.lcm_list2@17-18@./4.py","./4.py","main.lcm_list2","main.lcm_list2( A )",17,18
2,1,12,1,2,"main.gcd_list@20-21@./4.py","./4.py","main.gcd_list","main.gcd_list( A )",20,21
2,1,14,1,2,"main.gcd_list2@23-24@./4.py","./4.py","main.gcd_list2","main.gcd_list2( A )",23,24
31,11,191,0,52,"main@1-52@./4.py","./4.py","main","main( )",1,52
15,5,67,1,15,"main.prime_factorize@5-19@./5.py","./5.py","main.prime_factorize","main.prime_factorize( n )",5,19
18,6,112,0,36,"main@1-36@./5.py","./5.py","main","main( )",1,36
5,2,25,2,5,"gcd@1-5@./1.py","./1.py","gcd","gcd( x , y )",1,5
