difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,1,0,0,0,1,0,0,0,0,0,15
B,10,0,0,0,0,0,0,0,0,1,7
C,2,3,1,0,1,0,0,0,3,0,0
D,5,2,1,0,0,0,0,0,0,0,2
