difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,279,42,28,16,22,30,27,12,16,21,864
B,451,55,38,25,34,63,60,32,34,34,860
C,715,148,61,48,45,53,55,53,23,19,482
D,990,141,106,90,34,44,40,8,18,14,172
