difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,453,36,20,20,20,30,24,18,21,24,737
B,609,65,56,26,36,68,31,26,21,17,749
C,935,102,55,53,27,56,44,31,18,15,388
D,1138,122,76,76,45,49,35,8,24,16,138
