,90,89,79,78,76,74,73,72,69,68,67,66,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,19.0,23.0,4.0,22.0,48.0,43.0,46.0,61.0,110.0,60.0,40.0,20.0,30.0,25.0,29.0,30.0,17.0,26.0,737.0
B,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,11.0,2.0,15.0,10.0,14.0,16.0,5.0,21.0,18.0,18.0,36.0,33.0,52.0,28.0,42.0,63.0,34.0,86.0,62.0,58.0,98.0,42.0,33.0,25.0,13.0,36.0,25.0,10.0,11.0,21.0,749.0
C,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,2.0,9.0,5.0,15.0,23.0,23.0,24.0,27.0,25.0,37.0,17.0,46.0,27.0,22.0,25.0,19.0,20.0,40.0,128.0,81.0,66.0,55.0,72.0,102.0,53.0,71.0,48.0,21.0,40.0,20.0,24.0,36.0,15.0,22.0,11.0,7.0,6.0,11.0,388.0
D,8.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,8.0,6.0,1.0,9.0,1.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,10.0,1.0,1.0,3.0,8.0,13.0,6.0,18.0,17.0,2.0,13.0,3.0,21.0,11.0,32.0,9.0,9.0,9.0,18.0,6.0,17.0,28.0,14.0,27.0,58.0,78.0,40.0,33.0,77.0,38.0,43.0,41.0,50.0,85.0,103.0,44.0,81.0,63.0,42.0,78.0,44.0,48.0,34.0,24.0,33.0,10.0,6.0,14.0,11.0,3.0,8.0,5.0,33.0,6.0,138.0
