,90,79,78,76,74,73,69,67,66,63,61,60,59,58,57,56,54,53,52,51,50,49,48,47,46,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,16.0,24.0,10.0,31.0,44.0,44.0,39.0,60.0,117.0,54.0,48.0,17.0,36.0,28.0,36.0,25.0,20.0,18.0,758.0
B,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,14.0,4.0,18.0,15.0,17.0,15.0,7.0,21.0,14.0,24.0,28.0,29.0,64.0,31.0,57.0,68.0,31.0,96.0,70.0,64.0,113.0,34.0,33.0,32.0,25.0,30.0,19.0,6.0,10.0,25.0,724.0
C,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,4.0,7.0,13.0,20.0,30.0,24.0,22.0,42.0,36.0,23.0,40.0,23.0,18.0,25.0,19.0,32.0,36.0,113.0,79.0,61.0,70.0,65.0,104.0,54.0,55.0,62.0,23.0,52.0,32.0,22.0,44.0,15.0,31.0,9.0,1.0,15.0,11.0,415.0
D,8.0,4.0,1.0,1.0,1.0,3.0,0.0,5.0,7.0,8.0,3.0,2.0,1.0,6.0,5.0,1.0,9.0,7.0,2.0,1.0,6.0,9.0,7.0,26.0,16.0,17.0,4.0,24.0,10.0,26.0,7.0,17.0,13.0,16.0,6.0,22.0,24.0,15.0,35.0,69.0,76.0,59.0,33.0,79.0,34.0,46.0,36.0,67.0,57.0,103.0,54.0,95.0,53.0,48.0,69.0,48.0,45.0,30.0,19.0,28.0,19.0,11.0,20.0,6.0,5.0,11.0,3.0,32.0,1.0,144.0
