difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,207,29,21,20,23,34,26,16,11,13,849
B,392,95,54,30,31,59,50,15,20,25,922
C,708,143,62,45,48,69,53,48,10,35,592
D,1076,162,124,79,50,48,29,9,30,22,208
