,90,79,78,76,75,74,73,72,71,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,17.0,24.0,5.0,27.0,44.0,56.0,53.0,60.0,119.0,61.0,37.0,26.0,32.0,24.0,32.0,30.0,21.0,14.0,756.0
B,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,16.0,4.0,18.0,11.0,11.0,13.0,3.0,15.0,19.0,13.0,35.0,22.0,76.0,33.0,54.0,64.0,29.0,91.0,67.0,66.0,107.0,39.0,30.0,34.0,14.0,25.0,20.0,10.0,13.0,26.0,751.0
C,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,2.0,6.0,15.0,19.0,28.0,22.0,22.0,40.0,35.0,20.0,43.0,31.0,22.0,31.0,18.0,30.0,37.0,132.0,78.0,68.0,56.0,62.0,105.0,63.0,71.0,57.0,31.0,38.0,29.0,24.0,43.0,11.0,30.0,6.0,8.0,7.0,6.0,406.0
D,6.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,5.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,6.0,3.0,7.0,7.0,11.0,7.0,20.0,16.0,2.0,15.0,2.0,26.0,6.0,30.0,8.0,20.0,10.0,17.0,4.0,12.0,31.0,10.0,28.0,71.0,72.0,49.0,35.0,67.0,45.0,49.0,40.0,62.0,74.0,113.0,46.0,88.0,47.0,46.0,69.0,53.0,47.0,29.0,24.0,29.0,10.0,10.0,18.0,7.0,4.0,11.0,4.0,27.0,3.0,137.0
