difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,204,29,27,16,18,33,33,12,8,18,860
B,318,58,57,35,27,52,33,18,25,20,872
C,529,103,47,50,19,40,37,32,11,21,439
D,524,96,67,56,20,27,22,10,18,9,125
