difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,456,30,26,34,19,38,32,16,17,12,732
B,663,70,54,36,33,61,36,20,23,15,717
C,980,111,47,54,24,41,49,40,18,6,413
D,1186,109,97,56,44,34,28,10,26,12,146
