difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,448,33,32,23,13,42,31,19,20,17,737
B,689,58,58,30,39,64,45,25,18,17,687
C,987,105,52,61,29,50,43,25,19,12,405
D,1210,123,78,58,38,43,23,11,21,16,143
