problem_number,pass_num,total_num,accuracy
099,0,5,0
100,3,10
101,0,10,0
102,0,10,0
103,0,10,0
104,0,10,0
105,5,10
106,0,10,0
107,0,10,0
108,0,9,0
109,0,10,0
110,0,10,0
111,0,7,0
112,1,9
113,0,10,0
114,0,10,0
115,2,10
116,0,10,0
117,1,10
118,0,10,0
119,0,9,0
120,0,9,0
121,0,9,0
122,2,10
123,5,9
124,0,10,0
125,5,10
126,0,7,0
127,6,10
128,1,10
129,0,10,0
130,7,10
131,10,10,1
132,1,10
133,6,10
134,1,10
135,0,10,0
136,2,10
137,1,10
138,0,10,0
139,2,10
140,3,10
141,0,9,0
142,0,9,0
143,0,10,0
144,0,10,0
145,2,10
146,0,10,0
147,7,10
148,0,10,0
149,2,10
150,1,9
151,3,10
152,0,10,0
153,6,9
154,0,10,0
155,0,10,0
156,0,9,0
157,0,7,0
158,5,10
159,4,10
160,3,10
161,0,10,0
162,0,6,0
163,5,10
164,0,10,0
165,7,10
166,0,9,0
167,0,9,0
168,0,6,0
169,0,10,0
170,0,10,0
171,2,10
172,0,9,0
173,1,10
174,3,10
175,0,7,0
176,0,8,0
177,0,10,0
178,0,9,0
179,1,7
180,5,9
181,0,9,0
182,0,10,0
183,4,10
184,0,8,0
185,1,10
186,2,9
187,0,10,0
188,0,10,0
189,4,9
190,1,9
191,0,9,0
192,0,10,0
193,0,9,0
194,0,10,0
195,0,10,0
196,0,10,0
197,0,7,0
198,0,10,0
199,0,8,0
200,0,9,0
201,0,6,0
202,0,9,0
203,0,10,0
204,0,10,0
205,0,9,0
206,0,10,0
207,0,6,0
208,0,8,0
209,0,10,0
210,0,9,0
211,1,10
212,0,10,0
213,0,10,0
214,1,10
215,0,7,0
216,0,9,0
217,0,10,0
218,0,10,0
219,0,10,0
220,3,9
221,0,10,0
222,0,10,0
223,0,10,0
224,0,7,0
225,0,8,0
226,0,10,0
227,0,10,0
228,0,9,0
229,0,10,0
230,0,6,0
231,0,10,0
232,0,10,0
233,0,9,0
234,0,9,0
235,0,10,0
236,0,10,0
237,0,10,0
238,0,10,0
239,0,10,0
240,0,10,0
241,0,10,0
242,0,10,0
243,0,10,0
244,0,9,0
245,0,10,0
246,0,10,0
247,0,9,0
248,0,10,0
249,0,10,0
250,0,10,0
251,0,10,0
252,0,10,0
253,0,5,0
254,0,10,0
255,0,10,0
256,4,9
257,0,10,0
258,0,10,0
259,0,5,0
260,0,10,0
261,0,10,0
262,0,10,0
263,0,9,0
264,0,10,0
265,0,10,0
266,0,10,0
267,0,10,0
268,0,10,0
269,0,10,0
270,0,10,0
271,1,10
272,0,10,0
273,0,8,0
274,0,8,0
275,0,6,0
276,0,10,0
277,0,10,0
278,0,7,0
279,0,10,0
280,0,10,0
281,0,10,0
282,0,7,0
283,0,3,0
284,0,10,0
285,0,10,0
286,0,9,0
287,0,10,0
