difficulty,pass_num,total_num,accuracy
A,857,1248,0.686698717948718
A,840,1246,0.6741573033707865
A,842,1237,0.6806790622473726
A,860,1258,0.6836248012718601
A,849,1249,0.6797437950360288
,849.6,1247.6,0.6809807359749531
