difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,245,39,20,21,18,36,27,33,9,17,878
B,431,79,55,25,32,70,49,36,39,24,858
C,787,144,75,56,34,63,48,50,24,9,471
D,1061,145,107,94,60,55,37,22,26,15,182
