times,accuracy,proportion,accuracy,proportion,accuracy,proportion,accuracy,proportion
1,0.857,162 / 189,0.836,158 / 189,0.545,103 / 189,0.238,45 / 189
2,0.884,167 / 189,0.815,154 / 189,0.54,102 / 189,0.265,50 / 189
3,0.868,164 / 189,0.762,144 / 189,0.513,97 / 189,0.228,43 / 189
4,0.857,162 / 189,0.741,140 / 189,0.545,103 / 189,0.265,50 / 189
5,0.857,162 / 189,0.788,149 / 189,0.614,116 / 189,0.36,68 / 189
