times,accuracy,proportion,accuracy,proportion,accuracy,proportion,accuracy,proportion
1,0.899,170 / 189,0.831,157 / 189,0.556,105 / 189,0.228,43 / 189
2,0.868,164 / 189,0.767,145 / 189,0.503,95 / 189,0.233,44 / 189
3,0.889,168 / 189,0.799,151 / 189,0.492,93 / 189,0.222,42 / 189
4,0.873,165 / 189,0.709,134 / 189,0.444,84 / 189,0.159,30 / 189
5,0.889,168 / 189,0.788,149 / 189,0.608,115 / 189,0.339,64 / 189
