times,accuracy,proportion,accuracy,proportion,accuracy,proportion,accuracy,proportion
1,0.852,161 / 189,0.714,135 / 189,0.524,99 / 189,0.238,45 / 189
2,0.831,157 / 189,0.73,138 / 189,0.545,103 / 189,0.243,46 / 189
3,0.841,159 / 189,0.762,144 / 189,0.529,100 / 189,0.238,45 / 189
4,0.847,160 / 189,0.73,138 / 189,0.582,110 / 189,0.265,50 / 189
5,0.847,160 / 189,0.714,135 / 189,0.571,108 / 189,0.243,46 / 189
