difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,183,32,27,24,23,32,30,15,15,14,842
B,347,60,44,29,36,55,51,32,64,22,879
C,632,106,76,70,46,58,51,44,16,29,449
D,810,106,70,97,43,48,21,16,20,7,153
