problem_number,pass_num,total_num,accuracy
099,4,10
100,5,8
101,0,10,0
102,0,9,0
103,1,10
104,8,10
105,8,10
106,4,10
107,0,1,0
108,0,9,0
109,1,9
110,4,10
111,0,9,0
112,7,10
113,0,10,0
114,1,10
115,5,5,1
116,0,1,0
117,9,10
118,1,9
119,0,1,0
120,1,8
121,10,10,1
122,6,10
123,0,1,0
124,1,9
125,5,10
126,0,10,0
127,9,10
128,6,10
129,0,10,0
130,0,9,0
131,0,8,0
132,5,5,1
133,0,1,0
134,3,9
135,9,9,1
136,3,10
137,1,10
138,0,10,0
139,7,10
140,8,10
141,10,10,1
142,6,6,1
143,6,7
144,0,10,0
145,0,1,0
146,1,10
147,0,1,0
148,5,10
149,6,10
150,0,1,0
151,2,10
152,7,9
153,8,9
154,9,9,1
155,7,10
156,2,10
157,0,10,0
158,2,10
159,0,8,0
160,0,1,0
161,6,9
162,4,9
163,7,10
164,6,7
165,2,10
166,4,10
167,8,10
168,0,1,0
169,1,7
170,3,10
171,8,9
172,6,10
173,10,10,1
174,0,1,0
175,8,10
176,0,1,0
177,0,10,0
178,7,9
179,7,10
180,8,10
181,8,10
182,1,9
183,0,1,0
184,6,10
185,0,9,0
186,9,10
187,0,9,0
188,0,10,0
189,2,7
190,10,10,1
191,0,9,0
192,0,10,0
193,1,10
194,0,8,0
195,0,10,0
196,0,10,0
197,2,10
198,2,10
199,0,1,0
200,2,8
201,4,10
202,0,9,0
203,7,10
204,0,10,0
205,8,10
206,0,10,0
207,2,10
208,0,10,0
209,7,10
210,0,8,0
211,6,10
212,8,9
213,0,1,0
214,0,10,0
215,0,9,0
216,0,10,0
217,6,6,1
218,0,10,0
219,0,1,0
220,0,10,0
221,2,10
222,0,10,0
223,0,1,0
224,7,10
225,0,10,0
226,0,1,0
227,0,9,0
228,0,10,0
229,0,10,0
230,0,10,0
231,4,10
232,0,10,0
233,0,10,0
234,1,10
235,0,8,0
236,1,7
237,0,8,0
238,0,8,0
239,0,10,0
240,0,10,0
241,0,10,0
242,1,10
243,0,10,0
244,1,10
245,0,10,0
246,0,10,0
247,5,9
248,0,10,0
249,1,10
250,0,10,0
251,0,10,0
252,0,1,0
253,1,9
254,0,10,0
255,0,10,0
256,0,10,0
257,0,1,0
258,4,10
259,0,10,0
260,0,10,0
261,7,10
262,0,10,0
263,0,10,0
264,0,10,0
265,1,10
266,5,10
267,0,10,0
268,0,9,0
269,0,1,0
270,0,10,0
271,0,9,0
272,0,10,0
273,0,1,0
274,3,9
275,0,10,0
276,0,10,0
277,0,1,0
278,0,10,0
279,0,1,0
280,3,6
281,8,10
282,2,10
283,0,9,0
284,0,1,0
285,3,9
286,0,10,0
287,0,10,0
