difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,254,33,26,18,29,46,21,31,12,20,856
B,404,71,41,21,25,53,49,47,38,34,811
C,719,129,71,52,40,45,54,52,25,23,438
D,949,152,96,83,66,59,19,6,26,15,151
