difficulty,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
A,157,35,29,24,22,38,43,30,18,10,840
B,313,67,58,26,28,72,64,39,42,26,824
C,635,140,60,68,49,44,48,54,28,17,454
D,888,146,84,94,46,48,23,9,22,11,155
