,problem_281a,problem_282a,problem_283a,problem_284a,problem_281b,problem_282b,problem_283b,problem_284b,problem_281c,problem_282c,problem_283c,problem_284c,problem_281d,problem_282d,problem_283d,problem_284d
"(3, 5)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7348242811501597,1.0,0.7355623100303952,1.0,1.0,1.0,1.0
"(3, 6)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,0.8223684210526316,1.0,0.6437768240343348,0.7792207792207793,0.7089783281733746,1.0,1.0,0.4359861591695502,0.9533333333333334
"(3, 7)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,0.8223684210526316,1.0,0.8670886075949367,1.0,0.7347560975609756,1.0,1.0,0.42361111111111116,0.9533333333333334
"(3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.8338557993730408,1.0,0.7347560975609756,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(3, 9)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.8417721518987342,1.0,0.7347560975609756,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(3, 10)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.8589341692789969,1.0,0.6656760772659733,0.8187919463087249,1.0,0.4679245283018868,0.9533333333333334
"(4, 5)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9534883720930233,1.0,1.0,1.0,1.0
"(4, 6)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,0.8223684210526316,1.0,0.5984251968503937,0.7792207792207793,0.9319526627218935,1.0,1.0,0.4359861591695502,0.9533333333333334
"(4, 7)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,0.8223684210526316,1.0,0.7240356083086054,1.0,0.967930029154519,1.0,1.0,0.42361111111111116,0.9533333333333334
"(4, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.711764705882353,1.0,0.967930029154519,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(4, 9)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.7121661721068249,1.0,0.967930029154519,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(4, 10)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.7176470588235294,1.0,0.9046941678520626,0.8187919463087249,1.0,0.4679245283018868,0.9533333333333334
"(5, 6)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,0.8223684210526316,1.0,0.5984251968503937,0.7792207792207793,0.9795918367346939,1.0,1.0,0.4359861591695502,0.9533333333333334
"(5, 7)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,0.8223684210526316,1.0,0.7240356083086054,1.0,0.9770114942528736,1.0,1.0,0.42361111111111116,0.9533333333333334
"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.711764705882353,1.0,0.9770114942528736,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(5, 9)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.7121661721068249,1.0,0.9770114942528736,0.8187919463087249,1.0,0.4824902723735408,0.9533333333333334
"(5, 10)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526316,1.0,0.7176470588235294,1.0,0.8920056100981767,0.8187919463087249,1.0,0.4679245283018868,0.9533333333333334
"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,0.966824644549763,1.0,1.0,0.5992217898832685,0.7792207792207793,0.956140350877193,1.0,1.0,0.9665924276169265,1.0
"(6, 8)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,1.0,1.0,0.5692307692307692,0.7792207792207793,0.956140350877193,0.8187919463087249,1.0,0.861244019138756,1.0
"(6, 9)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,1.0,1.0,0.5758754863813229,0.7792207792207793,0.956140350877193,0.8187919463087249,1.0,0.861244019138756,1.0
"(6, 10)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,0.966824644549763,1.0,1.0,0.5923076923076923,0.7792207792207793,0.9072753209700428,0.8187919463087249,1.0,0.9061032863849765,1.0
"(7, 8)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,1.0,1.0,0.956268221574344,1.0,1.0,0.8187919463087249,1.0,0.8249400479616307,1.0
"(7, 9)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,1.0,1.0,0.9647058823529412,1.0,1.0,0.8187919463087249,1.0,0.8249400479616307,1.0
"(7, 10)",1.0,1.0,1.0,1.0,1.0,0.8753180661577609,1.0,1.0,1.0,0.9912536443148688,1.0,0.8776371308016877,0.8187919463087249,1.0,0.88,1.0
"(8, 9)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912536443148688,1.0,1.0,1.0,1.0,1.0,1.0
"(8, 10)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9653179190751445,1.0,0.8776371308016877,1.0,1.0,0.9035532994923858,1.0
"(9, 10)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956268221574344,1.0,0.8776371308016877,1.0,1.0,0.9035532994923858,1.0
